LP,IS_OK,POWOD,LOKACJA,SZCZEGOLOWA_LOKACJA,PIETRO,OZNACZENIE_REGALU,LICZBA_PIONOW,LICZBA_POLEK,WYSOKOSC,SZEROKOSC,GLEBOKOSC,POZIOM1,POZIOM2,POZIOM3,POZIOM4,POZIOM5,POZIOM6,POZIOM7,POZIOM8,POZIOM9,POZIOM10,POZIOM11,POZIOM12,NOSNOSC_KOLUMNY,NOSNOSC1,NOSNOSC2,NOSNOSC3,NOSNOSC4,NOSNOSC5,NOSNOSC6,NOSNOSC7,NOSNOSC8,NOSNOSC9,NOSNOSC10,NOSNOSC11,NOSNOSC12
165,tak,,USTRONNA,,1,FQ 01-07,7,10,2000,1000,600,100,280,480,680,880,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
166,tak,,USTRONNA,,1,FR,5,10,2000,1000,600,100,280,480,680,880,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
167,tak,,USTRONNA,,1,FV 38-31,8,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
168,tak,,USTRONNA,,1,FV 28-21,8,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
169,tak,,USTRONNA,,1,FV 08-01,8,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
170,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q50,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
171,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q57,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
172,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q59,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
173,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q61,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
174,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q63,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
175,tak,brak wysokosci,USTRONNA,"REKLAMACJE MAGAZYNOWE 
- PRZESY£KI DO WYJAŒNIENIA",0,REKLAMACJE MAGAZYNOWE,1,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
176,tak,,USTRONNA,,0,CHEMIA 8154-8204,4,5,2000,1000,600,80,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
177,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q43,3,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
178,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q02,2,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
179,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q03,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
180,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q07,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
181,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q09,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
182,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q11,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
183,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q13-14,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
184,tak,wysokosci ze starych tabliczek,USTRONNA,,0,Q15-16,5,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
185,tak,,USTRONNA,"WARUNEK TECHNICZNY 
- ZWROTY DOSTAWCY",0,WARUNEK TECHNICZNY -,2,4,2000,1000,600,100,820,1550,2000,,,,,,,,,1050,150,150,150,150,,,,,,,,
186,tak,,USTRONNA,ETYKIEDY BBX PRZY Q66,0,BBX,1,5,2000,1000,600,100,1120,1430,1720,2000,,,,,,,,1050,150,150,150,150,150,,,,,,,
187,tak,tylko 1 polka?,USTRONNA,ZWROT TOWARU - FAKTUROWNIA,0,FATUROWNIA,2,0+1,2000,1000,600,1650,,,,,,,,,,,,1050,150,,,,,,,,,,,
188,tak,nazwa,USTRONNA,META MULTI STRONG,0,QUE,1,6,2000,1000,600,140,580,870,1170,1470,1770,,,,,,,1050,150,150,150,150,150,150,,,,,,
189,tak,nazwa,USTRONNA,META MULTI STRONG,0,QUE,1,6,2000,1000,600,140,580,870,1170,1470,1770,,,,,,,1050,150,150,150,150,150,150,,,,,,
190,tak,wysokosc  polka 4,USTRONNA,,0,KARTONY,2,6,2000,1000,600,50,700,1020,1350,1670,1970,,,,,,,1050,150,150,150,150,150,150,,,,,,
191,tak,,USTRONNA,,0,REGA£ 8-9,2,8,2000,1000,600,80,350,650,930,1170,1430,1700,1970,,,,,1050,150,150,150,150,150,150,150,150,,,,
192,tak,,USTRONNA,,0,OBOK 8-9,1,5,2000,1000,600,80,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
193,tak,,USTRONNA,,0,REGA£ 1-4,4,8,2000,1000,600,80,350,650,930,1170,1430,1700,1970,,,,,1050,150,150,150,150,150,150,150,150,,,,
194,tak,,USTRONNA,,0,REGA£ 5-7,3,8,2000,1000,600,80,350,650,930,1170,1430,1700,1970,,,,,1050,150,150,150,150,150,150,150,150,,,,
195,tak,,USTRONNA,WARSZTAT DZIA£U UTRZYMANIA RUCHU,0,DUR,3,10,2000,1000,600,50,280,480,680,880,1080,1280,1480,1680,1880,,,1050,150,150,150,150,150,150,150,150,150,150,,
196,tak,wysokosc polki 1,USTRONNA,WARSZTAT DZIA£U UTRZYMANIA RUCHU,0,DUR,3,8,2000,1000,600,80,350,620,880,1160,1420,1690,1950,,,,,1050,150,150,150,150,150,150,150,150,,,,
197,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,3,5,2000,1000,600,100,540,1000,1450,1900,,,,,,,,1050,150,150,150,150,150,,,,,,,
198,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,2,5,2000,1000,600,100,540,1000,1450,1900,,,,,,,,1050,150,150,150,150,150,,,,,,,
199,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,3,5,2000,1000,600,100,540,1000,1450,1900,,,,,,,,1050,150,150,150,150,150,,,,,,,
200,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,2,4,2000,1000,600,100,700,1300,1900,,,,,,,,,1050,150,150,150,150,,,,,,,,
201,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,3,4,2000,1000,600,100,700,1300,1900,,,,,,,,,1050,150,150,150,150,,,,,,,,
202,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,2,8,2000,1000,600,100,350,620,880,1160,1420,1680,1950,,,,,1050,150,150,150,150,150,150,150,150,,,,
203,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,2,3,2000,1000,600,900,1500,2000,,,,,,,,,,1050,150,150,150,,,,,,,,,
204,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,5,11,2500,1000,600,100,350,620,900,1150,1420,1680,1880,2080,2280,2500,,1050,150,150,150,150,150,150,150,150,150,150,150,
205,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,5,6,2000,1000,600,100,620,950,1280,1620,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
206,tak,,USTRONNA,WYSOKI SK£AD,0,WYS SK£,3,6,2000,1000,600,100,620,950,1280,1620,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
207,tak,,USTRONNA,MAGAZYN IP - BHP?,0,MAG IP,4,6,3000,1000,600,100,680,1220,1750,2280,2820,,,,,,,1050,150,150,150,150,150,150,,,,,,
208,tak,,ROZALII,KOT£OWNIA,,KTO£,1,3,2000,1000,600,220,950,1680,,,,,,,,,,1050,150,150,150,,,,,,,,,
209,tak,wysokosc regalu,ROZALII,MAGAZYN TRANSPORTOWY,,MAG TR,2,6,3000,1000,600,100,620,1080,1690,2010,2550,,,,,,,1050,150,150,150,150,150,150,,,,,,
210,tak,wysokosc regalu,ROZALII,MAGAZYN TRANSPORTOWY,,MAG TR,2,6,3000,1000,600,100,620,1080,1690,2010,2550,,,,,,,1050,150,150,150,150,150,150,,,,,,
211,tak,,ROZALII,MAGAZYN IT,,MAG IT,3,7,3000,1000,600,100,550,1010,1480,2010,2480,2980,,,,,,1050,150,150,150,150,150,150,150,,,,,
212,tak,,ROZALII,MAGAZYN IT,,MAG IT,3,7,3000,1000,600,100,550,1010,1480,2010,2480,2980,,,,,,1050,150,150,150,150,150,150,150,,,,,
213,tak,,RZGÓW,AUTOMATYKA,,AUTO,2,5,2000,1000,600,100,550,1050,1520,2000,,,,,,,,1050,150,150,150,150,150,,,,,,,
214,tak,,RZGÓW,AUTOMATYKA,,AUTO,2,5,2000,1000,600,100,550,1050,1520,2000,,,,,,,,1050,150,150,150,150,150,,,,,,,
215,tak,,RZGÓW,AUTOMATYKA,,AUTO,1,5,2000,1000,600,100,550,1050,1520,2000,,,,,,,,1050,150,150,150,150,150,,,,,,,
216,tak,,RZGÓW,AUTOMATYKA,,AUTO,1,5,2000,1000,600,100,550,1050,1520,2000,,,,,,,,1050,150,150,150,150,150,,,,,,,
217,tak,,RZGÓW,,,YS 11-12,8,7,2000,1000,600,50,380,700,1020,1350,1680,1980,,,,,,1050,150,150,150,150,150,150,150,,,,,
218,tak,,RZGÓW,,,YL,2,9,2000,1000,600,50,300,550,800,1050,1300,1580,1780,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
219,tak,,RZGÓW,,,YK,2,9,2000,1000,600,50,300,550,800,1050,1300,1580,1780,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
220,tak,ilosc pionow,RZGÓW,,,YF 20-36,17,7,2000,1000,,50,370,700,1020,1350,1670,1980,,,,,,1050,150,150,150,150,150,150,150,,,,,
221,tak,ilosc pionow,RZGÓW,,,YP 21-36,2,5,2000,1000,,50,520,1000,1470,1980,,,,,,,,1050,150,150,150,150,150,,,,,,,
222,tak,,RZGÓW,EI PRAWY,,EI PR,8,12,2000,1000,600,50,220,400,580,750,920,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
223,tak,,RZGÓW,,,EI LE,6,12,2000,1000,600,50,220,400,580,750,920,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
224,tak,,RZGÓW,,,EB,5,7,2000,1000,600,50,380,700,1020,1350,1670,1970,,,,,,1050,150,150,150,150,150,150,150,,,,,
225,tak,,RZGÓW,,,EA,5,7,2000,1000,600,50,380,700,1020,1350,1670,1970,,,,,,1050,150,150,150,150,150,150,150,,,,,
226,tak,,RZGÓW,DZ PRAWY,,DZ PR,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
227,tak,,RZGÓW,DZ LEWY,,DZ LE,6,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
228,tak,,RZGÓW,,,DY,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
229,tak,,RZGÓW,DX PRAWY,,DX PR,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
230,tak,,RZGÓW,DX LEWY,,DX LE,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
231,tak,,RZGÓW,BY LEWY,,BY LE,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
232,tak,,RZGÓW,BY PRAWY,,BY PR,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
233,tak,,RZGÓW,DU LEWY,,DU LE,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
234,tak,,RZGÓW,,,DT,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
235,tak,,RZGÓW,DS PRAWY,,DS PR,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
236,tak,,RZGÓW,DS. LEWY,,DS LE,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
237,tak,,RZGÓW,,,DR ,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
238,tak,,RZGÓW,,,DQ,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
239,tak,,RZGÓW,,,DI,7,8,2000,1000,600,50,330,600,880,1150,1430,1750,1980,,,,,1050,150,150,150,150,150,150,150,150,,,,
240,tak,,RZGÓW,,,DH,6,9,2000,1000,600,50,330,600,880,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
241,tak,,RZGÓW,DB LEWY,,DB LE,7,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
242,tak,,RZGÓW,DB PRAWY,,DB PR,8,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
243,tak,,RZGÓW,CX PRAWY,,CX PR,8,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
244,tak,,RZGÓW,CX LEWY,,CX LE,7,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
245,tak,,RZGÓW,,,CV,7,5,2000,1000,600,50,550,1030,1500,1980,,,,,,,,1050,150,150,150,150,150,,,,,,,
246,tak,,RZGÓW,CS PRAWY,,CS PR,8,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
247,tak,,RZGÓW,CS LEWY,,CS LE,7,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
248,tak,,RZGÓW,CR PRAWY,,CR PR,8,9,2000,1000,600,50,330,600,880,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
249,tak,,RZGÓW,CR LEWY,,CR LE,7,9,2000,1000,600,50,330,600,880,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
250,tak,,RZGÓW,,,CP,7,5,2000,1000,600,50,550,1030,1500,1980,,,,,,,,1050,150,150,150,150,150,,,,,,,
251,tak,,RZGÓW,CM LEWY,,CM LE,7,7,2000,1000,600,50,380,700,1030,1350,1680,1980,,,,,,1050,150,150,150,150,150,150,150,,,,,
252,tak,,RZGÓW,CM PRAWY,,CM PR,7,7,2000,1000,600,50,380,700,1030,1350,1680,1980,,,,,,1050,150,150,150,150,150,150,150,,,,,
253,tak,,RZGÓW,CK LEWY,,CK LE,7,7,2000,1000,600,50,380,700,1030,1350,1680,1980,,,,,,1050,150,150,150,150,150,150,150,,,,,
254,tak,,RZGÓW,CK PRAWY,,CK PR,7,7,2000,1000,600,50,380,700,1030,1350,1680,1980,,,,,,1050,150,150,150,150,150,150,150,,,,,
255,tak,,RZGÓW,CE PRAWY,,CE PR,7,9,2000,1000,600,50,330,600,800,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
256,tak,,RZGÓW,CE LEWY,,CE LE,7,9,2000,1000,600,50,330,600,800,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
257,tak,,RZGÓW,CC LEWY,,CC LE,7,9,2000,1000,600,50,330,600,800,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
258,tak,,RZGÓW,CC PRAWY,,CC PR,8,9,2000,1000,600,50,330,600,800,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
259,tak,,RZGÓW,CB PRAWY,,CB PR,8,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
260,tak,,RZGÓW,CB LEWY,,CB LE,7,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
261,tak,,RZGÓW,,,AC__AD,8,9,2000,1000,600,130,330,650,770,980,1200,1420,1630,1850,,,,1050,150,150,150,150,150,150,150,150,150,,,
262,tak,,RZGÓW,,,AG,9,7,2000,1000,600,50,380,700,1030,1350,1680,1980,,,,,,1050,150,150,150,150,150,150,150,,,,,
263,tak,,RZGÓW,,,AH,9,7,2000,1000,600,50,380,700,1030,1350,1680,1980,,,,,,1050,150,150,150,150,150,150,150,,,,,
264,tak,,RZGÓW,AS PRAWY,,AS PR,9,9,2000,1000,600,50,330,600,800,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
265,tak,,RZGÓW,AS LEWY,,AS LE,9,9,2000,1000,600,50,330,600,800,1120,1370,1620,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
266,tak,,RZGÓW,AT PRAWY,,AT PR,9,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
267,tak,,RZGÓW,AT LEWY,,AT LE,9,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
268,tak,,RZGÓW,,,BA,8,8,2000,1000,600,50,350,650,750,1250,1550,1800,1980,,,,,1050,150,150,150,150,150,150,150,150,,,,
269,tak,,RZGÓW,,,BA,9,8,2000,1000,600,50,350,650,750,1250,1550,1800,1980,,,,,1050,150,150,150,150,150,150,150,150,,,,
270,tak,,RZGÓW,,,BB,9,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
271,tak,,RZGÓW,,,BB,8,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
272,tak,,RZGÓW,,,BC,10,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
273,tak,,RZGÓW,,,BC,9,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
274,tak,,RZGÓW,,,BD,9,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
275,tak,,RZGÓW,,,BD,10,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
276,tak,,RZGÓW,,,BE,9,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
277,tak,,RZGÓW,,,BE,10,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
278,tak,,RZGÓW,,,BF,9,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
279,tak,,RZGÓW,,,BF,10,12,2000,1000,600,50,230,400,580,750,930,1100,1280,1450,1630,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
280,tak,,RZGÓW,,,BG,6,5,2000,1000,600,50,550,1000,1480,1980,,,,,,,,1050,150,150,150,150,150,,,,,,,
281,tak,,RZGÓW,,,BG,9,5,2000,1000,600,50,550,1000,1480,1980,,,,,,,,1050,150,150,150,150,150,,,,,,,
282,tak,,RZGÓW,,,BH,6,5,2000,1000,600,50,550,1000,1480,1980,,,,,,,,1050,150,150,150,150,150,,,,,,,
283,tak,,RZGÓW,,,BH,9,5,2000,1000,600,50,550,1000,1480,1980,,,,,,,,1050,150,150,150,150,150,,,,,,,
284,tak,,RZGÓW,MAGAZYN IT,,IT,2,6,2500,1000,600,50,650,1180,1700,2230,2500,,,,,,,1050,150,150,150,150,150,150,,,,,,
285,tak,,RZGÓW,MAGAZYN IT,,IT,3,6,2500,1000,600,50,650,1180,1700,2230,2500,,,,,,,1050,150,150,150,150,150,150,,,,,,
286,tak,,RZGÓW,WARSZTAT DZIA£U UTRZYMANIA RUCHU,,DUR,4,8,2000,1000,600,50,550,770,1020,1270,1500,1720,1970,,,,,1050,150,150,150,150,150,150,150,150,,,,
287,tak,,RZGÓW,WARSZTAT DZIA£U UTRZYMANIA RUCHU,,DUR,3,0+3,2500,1000,600,750,1500,2250,,,,,,,,,,1050,150,150,150,,,,,,,,,
288,tak,,RZGÓW,SPEDYCJA,,SPEDYCJA,2,5,2000,1000,600,50,550,1040,1540,1920,,,,,,,,1050,150,150,150,150,150,,,,,,,
